23902	157	22	NULL	Trim Code	2	NULL	7	1	1	NULL	1	0	
23902	159	186	NULL		1	5	0	1	2	NULL	1	0	
23902	163	56	NULL		1	42	0	1	3	NULL	1	0	
23902	158	23	NULL		4	NULL	7	2	1	NULL	1	0	
23902	329	149	NULL	Type Group	1	95	0	2	2	NULL	1	0	NULL
23902	164	103	NULL		1	59	0	2	3	NULL	1	0	
23902	160	3810	NULL	Trim Material	1	3521	0	3	1	NULL	1	0	
23902	330	2	NULL	Type	1	4	0	3	2	NULL	1	0	
23902	165	3709	NULL	Item Type	1	123	0	3	3	NULL	1	1	4
23902	162	3	NULL		1	8	0	4	1	NULL	1	0	
23902	161	3128	NULL	Status	1	3461	0	4	2	NULL	1	0	
24002	148	22	NULL	Packaging Code	2	NULL	7	1	1	NULL	1	0	
24002	150	186	NULL		1	5	0	1	2	NULL	1	0	
24002	155	56	NULL		1	42	0	1	3	NULL	1	0	
24002	149	23	NULL		4	NULL	7	2	1	NULL	1	0	
24002	332	149	NULL	Type Group	1	95	0	2	2	NULL	1	0	NULL
24002	335	3789	NULL	NULL	2	NULL	7	2	3	NULL	1	0	NULL
24002	336	3810	NULL	NULL	1	3521	0	3	1	NULL	1	0	NULL
24002	333	2	NULL	Type	1	4	0	3	2	NULL	1	0	NULL
24002	156	103	NULL		1	59	0	3	3	NULL	1	0	
24002	334	3128	NULL	Status	1	3461	0	4	1	NULL	1	0	NULL
24002	154	3710	NULL		1	123	0	4	3	NULL	1	1	6
24102	141	22	NULL	Label Code	2	NULL	7	1	1	NULL	1	0	
24102	143	186	NULL		1	5	0	1	2	NULL	1	0	
24102	145	56	NULL		1	42	0	1	3	NULL	1	0	
24102	142	23	NULL		4	NULL	7	2	1	NULL	1	0	
24102	337	149	NULL	Type Group	1	95	0	2	2	NULL	1	0	NULL
24102	340	3789	NULL	NULL	2	NULL	7	2	3	NULL	1	0	NULL
24102	144	3810	NULL		1	3521	0	3	1	NULL	1	0	
24102	338	2	NULL	Type	1	4	0	3	2	NULL	1	0	NULL
24102	341	103	NULL	NULL	1	59	0	3	3	NULL	1	0	NULL
24102	339	3128	NULL	Status	1	3461	0	4	1	NULL	1	0	NULL
24102	167	3	NULL		1	8	0	4	2	NULL	1	0	
24102	147	3711	NULL		1	123	0	4	3	NULL	1	1	5
25402	187	22	NULL	Style #	2	NULL	7	1	1	NULL	1	0	
25402	190	1	NULL	Class	1	1	0	1	2	NULL	1	0	
25402	194	3	NULL	Season	1	8	0	1	3	NULL	1	0	
25402	188	3914	NULL	Publish to ERP	13	NULL	0	1	4	NULL	1	1	True
25402	797	35	635	Color	2	NULL	7	2	1	NULL	1	0	
25402	799	149	NULL	Type Group	1	95	0	2	2	NULL	1	0	
25402	800	4	NULL	Collection	1	6	0	2	3	NULL	1	0	
25402	804	3915	NULL	Published to ERP	13	NULL	0	2	4	NULL	1	0	
25402	802	3707	NULL	Item Type	1	123	0	3	1	NULL	1	0	
25402	798	2	NULL	Product Type	1	4	0	3	2	NULL	1	0	
25402	801	5	NULL	Group	1	7	0	3	3	NULL	1	0	
25402	803	3920	NULL	Publish Failed to ERP	13	NULL	0	3	4	NULL	1	0	
25402	839	35	7976	Active	13	NULL	NULL	4	4	NULL	1	0	True
26202	256	3865	NULL		1	3474	0	1	1	NULL	1	0	2993
28902	413	22	NULL	Fabric Code	2	NULL	7	1	1	NULL	1	0	
28902	793	6790	NULL	Fabric Mill	1	4723	0	1	2	NULL	1	0	
28902	418	3	NULL	Season	1	8	0	1	3	NULL	1	0	
