28902	152	3128	NULL	Status	NULL	NULL	6	1
28902	203	1	NULL	Product Class	NULL	NULL	7	1
28902	1545	3130	NULL	Fabric Type	NULL	NULL	8	1
28902	153	3	NULL	Season	NULL	NULL	9	1
28902	206	4	NULL	Collection	NULL	NULL	10	1
28902	207	5	NULL	Group	NULL	NULL	11	0
28902	22	3127	NULL	Print/Solid	NULL	NULL	12	0
28902	1316	3896	NULL	SupplierType	NULL	NULL	13	1
28902	155	103	NULL	Country Of Origin	NULL	NULL	14	0
28902	151	3133	NULL	Fabric Mill	NULL	NULL	15	1
28902	154	56	NULL	Supplier	NULL	NULL	16	1
28902	1317	3916	NULL	Supplier Article #	NULL	NULL	17	1
28902	1407	5094	NULL	Cost p/m	NULL	NULL	18	1
28902	1408	5336	NULL	Cost p/y	NULL	NULL	19	1
28902	1321	4938	NULL	Original Composition	NULL	NULL	20	1
28902	1546	7089	NULL	Final Composition	NULL	NULL	21	1
28902	209	181	NULL	Created Date	NULL	NULL	22	0
28902	1588	7141	NULL	Weight	NULL	NULL	23	1
28902	1589	3355	NULL	Bf. Wash Swt Weight	NULL	NULL	24	1
30206	1304	6	NULL	Sketch	NULL	NULL	1	1
30206	1560	22	NULL	Artwork #	NULL	NULL	2	1
30206	1561	23	NULL	Description	NULL	NULL	3	1
30206	1305	5291	NULL	Print #	NULL	NULL	4	0
30206	1306	121	NULL	Long Description	NULL	NULL	5	0
30206	1494	1	NULL	Classification	NULL	NULL	6	1
30206	1495	2	NULL	Product Type	NULL	NULL	7	1
30206	1308	5295	NULL	Artwork Status	NULL	NULL	8	1
30206	1309	5331	NULL	Artwork Placement	NULL	NULL	9	1
30206	1310	5297	NULL	Comments	NULL	NULL	10	1
30206	1311	5324	NULL	Artwork Approval Date	NULL	NULL	11	1
30206	1312	5320	NULL	Artwork File	NULL	NULL	12	1
30207	1415	22	NULL	Color Palette Name	NULL	NULL	2	1
30207	1416	23	NULL	Description	NULL	NULL	3	1
30207	1417	6739	NULL	Product Class	NULL	NULL	4	1
30207	1418	141	NULL	Bard Label	NULL	NULL	5	1
30207	1419	3	NULL	Selling-Period	NULL	NULL	6	1
30207	1424	NULL	NULL	LastRevisedBy	NULL	NULL	7	1
30207	1425	NULL	NULL	LastRevisedByDate	NULL	NULL	8	1
30207	1426	NULL	NULL	CreatedBy	NULL	NULL	9	1
30207	1427	NULL	NULL	CreatedDate	NULL	NULL	10	1
30213	4	6	NULL	Sketch	NULL	NULL	1	1
30213	57	22	NULL	Style #	NULL	NULL	2	1
30213	2	23	NULL	Description	NULL	NULL	3	1
30213	197	1	NULL	Product Class	NULL	NULL	4	1
30213	198	149	NULL	Type Group	NULL	NULL	5	1
30213	199	2	NULL	Product Type	NULL	NULL	6	1
30213	1542	141	NULL	Brand	NULL	NULL	7	1
30213	200	3	NULL	Season	NULL	NULL	8	1
30213	201	4	NULL	Collection	NULL	NULL	9	1
30213	202	5	NULL	Group	NULL	NULL	10	1
30213	141	10	NULL	Size Range	NULL	NULL	11	1
30213	142	11	NULL	Dimension	NULL	NULL	12	1
30213	143	3006	NULL	Sample Status	NULL	NULL	13	1
30213	144	3004	NULL	Style Status	NULL	NULL	14	1
30213	146	146	NULL	Ship Date 1	NULL	NULL	15	1
30213	147	147	NULL	Ship Date 2	NULL	NULL	16	1
30213	148	148	NULL	CancelByDate	NULL	NULL	17	1
30213	140	47	NULL	Composition	NULL	NULL	18	1
